;Mã hàng;Tên s?n ph?m;ID;?? dày;B?n r?ng;"S? l??ng
(b?)";VND;;;;;;PUR-S;;;;
1;PUR-S 015x25x40;G?i ?? ?? vuông 21x25x40;21;25;40;1;9.000  ;;;015;14.500  ;11.600;G?i ?? ?? vuông;;;;
108;PUR-S 400x50x50-TQ;G?i ?? ?? vuông 426x50x50;426;50;50;1;230.200  ;;;400;497.100  ;310.700;;;;;
109;PUR-S 450x50x50-TQ;G?i ?? ?? vuông 478x50x50;478;50;50;1;252.600  ;;;450;545.300  ;340.900;;;;;
110;PUR-S 500x50x65-TQ;G?i ?? ?? vuông 529x50x65;529;50;65;1;355.800  ;;;500;738.900  ;480.300;;;;;
111;PUR-S 550x50x65-TQ;G?i ?? ?? vuông 559x50x65;559;50;65;1;399.700  ;;;550;830.000  ;539.500;;;;;
112;PUR-S 600x50x65-TQ;G?i ?? ?? vuông 630x50x65;630;50;65;1;422.700  ;;;600;877.800  ;570.600;;;;;
113;PUR-S 650x50x75-TQ;G?i ?? ?? vuông 659x50x75;659;50;75;1;407.500  ;;;650;1.100.000  ;550.000;;;;;
114;PUR-S 700x50x75-TQ;G?i ?? ?? vuông 720x50x75;720;50;75;1;478.900  ;;Chi?u cao ?? H=75mm;700;1.293.000  ;646.500;;;;;
115;PUR-S 800x50x75-TQ;G?i ?? ?? vuông 820x50x75;820;50;75;1;569.200  ;;;800;1.536.600  ;768.300;;;;;
116;PUR-S 900x50x100-TQ;G?i ?? ?? vuông 920x50x100;920;50;100;1;940.000  ;;"Chi?u cao ??
H=100mm";900;2.537.900  ;1.269.000;;;;;
117;PUR-S 1000x50x100-TQ;G?i ?? ?? vuông 1020x50x100;1020;50;100;1;1.094.800  ;;;1000;2.955.800  ;1.477.900;;;;;
96;Ula 015x25-M8;Cùm Ula 72-M8;72;1,2;25;1;7.100  ;;M8;015;25;8.500;;;;;
97;Ula 020x25-M8;Cùm Ula 78-M8;78;1,2;25;1;7.400  ;;M8;020;25;8.800;;;;;
98;Ula 025x25-M8;Cùm Ula 84-M8;84;1,2;25;1;7.700  ;;M8;025;25;9.200;;;;;
99;Ula 032x25-M8;Cùm Ula 93-M8;93;1,2;25;1;8.100  ;;M8;032;25;9.700;;;;;
100;Ula 040x25-M8;Cùm Ula 99-M8;99;1,2;25;1;8.400  ;;M8;040;25;10.000;;;;;
101;Ula 050x25-M8;Cùm Ula 110-M8;110;1,5;25;1;9.900  ;;M8;050;25;11.800;;;;;
102;Ula 065x25-M8;Cùm Ula 126-M8;126;1,5;25;1;10.700  ;;M8;065;25;12.800;;;;;
103;Ula 080x25-M8;Cùm Ula 139-M8;139;1,5;25;1;11.500  ;;M8;080;25;13.800;;;;;
104;Ula 100x25-M8;Cùm Ula 164-M8;164;1,5;25;1;13.400  ;;M8;100;25;16.000;;;;;
105;Ula 015x32-M8;Cùm Ula 85-M8;85;1,2;25;1;7.800  ;;M8;015;32;9.300;;;;;
106;Ula 020x32-M8;Cùm Ula 92-M8;92;1,2;25;1;8.000  ;;M8;020;32;9.500;;;;;
107;Ula 025x32-M8;Cùm Ula 98-M8;98;1,2;25;1;8.300  ;;M8;025;32;9.900;;;;;
108;Ula 032x32-M8;Cùm Ula 107-M8;107;1,5;25;1;9.600  ;;M8;032;32;11.500;;;;;
109;Ula 040x32-M8;Cùm Ula 113-M8;113;1,5;25;1;10.000  ;;M8;040;32;12.000;;;;;
110;Ula 050x32-M8;Cùm Ula 124-M8;124;1,5;25;1;10.600  ;;M8;050;32;12.700;;;;;
111;Ula 065x32-M8;Cùm Ula 140-M8;140;1,5;25;1;11.500  ;;M8;065;32;13.800;;;;;
112;Ula 080x32-M8;Cùm Ula 153-M8;153;1,5;25;1;12.900  ;;M8;080;32;15.400;;;;;
113;Ula 100x32-M10;Cùm Ula 178-M10;178;1,8;32;1;20.700  ;;M10;100;32;24.800;;;;;
114;Ula 125x32-M10;Cùm Ula 204-M10;204;1,8;32;1;22.900  ;;M10;125;32;27.400;;;;;
115;Ula 150x32-M10;Cùm Ula 232-M10;232;1,8;32;1;25.000  ;;M10;150;32;30.000;;;;;
116;Ula 015x40-M8;Cùm Ula 101-M8;101;1,5;25;1;9.500  ;;M8;015;40;11.400;;;;;
117;Ula 020x40-M8;Cùm Ula 108-M8;108;1,5;25;1;9.800  ;;M8;020;40;11.700;;;;;
118;Ula 025x40-M8;Cùm Ula 114-M8;114;1,5;25;1;10.000  ;;M8;025;40;12.000;;;;;
119;Ula 032x40-M8;Cùm Ula 123-M8;123;1,5;25;1;10.600  ;;M8;032;40;12.700;;;;;
120;Ula 040x40-M8;Cùm Ula 129-M8;129;1,5;25;1;11.000  ;;M8;040;40;13.200;;;;;
121;Ula 050x40-M8;Cùm Ula 140-M8;140;1,5;25;1;11.500  ;;M8;050;40;13.800;;;;;
122;Ula 065x40-M8;Cùm Ula 156-M8;156;1,5;25;1;13.100  ;;M8;065;40;15.700;;;;;
123;Ula 080x40-M8;Cùm Ula 169-M8;169;1,5;25;1;13.800  ;;M8;080;40;16.500;;;;;
124;Ula 100x40-M10;Cùm Ula 194-M10;194;1,8;32;1;22.000  ;;M10;100;40;26.300;;;;;
125;Ula 125x40-M10;Cùm Ula 220-M10;220;1,8;32;1;24.100  ;;M10;125;40;28.900;;;;;
126;Ula 150x40-M10;Cùm Ula 248-M10;248;1,8;32;1;26.500  ;;M10;150;40;31.700;;;;;
127;Ula 200x40-M12;Cùm Ula 299-M12;299;2,0;35;1;39.400  ;;M12;200;40;47.200;;;;;
128;Ula 250x40-M12;Cùm Ula 353-M12;353;2,0;35;1;44.500  ;;M12;250;40;53.400;;;;;
129;Ula 300x40-M12;Cùm Ula 405-M12;405;2,0;40;1;54.600  ;;M12;300;40;65.500;;;;;
130;Ula 015x50-M8;Cùm Ula 121-M8;121;1,5;25;1;10.500  ;;M8;015;50;12.500;;;;;
131;Ula 020x50-M8;Cùm Ula 128-M8;128;1,5;25;1;10.900  ;;M8;020;50;13.000;;;;;
132;Ula 025x50-M8;Cùm Ula 134-M8;134;1,5;25;1;11.200  ;;M8;025;50;13.400;;;;;
133;Ula 032x50-M8;Cùm Ula 143-M8;143;1,5;25;1;11.700  ;;M8;032;50;14.000;;;;;
134;Ula 040x50-M8;Cùm Ula 149-M8;149;1,5;25;1;12.700  ;;M8;040;50;15.200;;;;;
135;Ula 050x50-M8;Cùm Ula 160-M8;160;1,5;25;1;13.300  ;;M8;050;50;15.900;;;;;
136;Ula 065x50-M8;Cùm Ula 176-M8;176;1,5;25;1;14.200  ;;M8;065;50;17.000;;;;;
137;Ula 080x50-M8;Cùm Ula 189-M8;189;1,5;25;1;14.800  ;;M8;080;50;17.700;;;;;
138;Ula 100x50-M10;Cùm Ula 214-M10;214;1,8;32;1;23.600  ;;M10;100;50;28.300;;;;;
139;Ula 125x50-M10;Cùm Ula 240-M10;240;1,8;32;1;25.800  ;;M10;125;50;30.900;;;;;
140;Ula 150x50-M10;Cùm Ula 268-M10;268;1,8;32;1;28.000  ;;M10;150;50;33.500;;;;;
141;Ula 200x50-M12;Cùm Ula 319-M12;319;2,0;35;1;41.200  ;;M12;200;50;49.400;;;;;
142;Ula 250x50-M12;Cùm Ula 373-M12;373;2,0;35;1;46.500  ;;M12;250;50;55.700;;;;;
143;Ula 300x50-M12;Cùm Ula 425-M12;425;2,0;40;1;57.000  ;;M12;300;50;68.300;;;;;
144;Ula 350x50-M14;Cùm Ula 455-M14;455;2,5;40;1;81.300  ;;M14;350;50;97.500;;;;;
145;Ula 400x50-M14;Cùm Ula 506-M14;506;2,5;40;1;88.300  ;;M14;400;50;105.900;;;;;
146;Ula 450x50-M14;Cùm Ula 558-M14;558;2,5;40;1;95.400  ;;M14;450;50;114.400;;;;;
147;Ula 500x50-M14;Cùm Ula 608-M14;608;3,0;50;1;143.000  ;;M14;500;50;171.500;;;;;
148;Ula 550x50-M14;Cùm Ula 658-M14;658;3,0;50;1;153.100  ;;M14;550;50;183.700;;;;;
149;Ula 600x50-M14;Cùm Ula 709-M14;709;3,0;50;1;163.600  ;;M14;600;50;196.300;;;;;
55;Ula 350x50-M14-TQ;Cùm Ula 477-M14;477;2,5;40;1;77.900  ;;M14;350;50;101.200;;;;;
56;Ula 400x50-M14-TQ;Cùm Ula 526-M14;526;2,5;40;1;85.000  ;;M14;400;50;110.500;;;;;
57;Ula 450x50-M14-TQ;Cùm Ula 578-M14;578;2,5;40;1;91.600  ;;M14;450;50;119.000;;;;;
58;Ula 500x50-M14-TQ;Cùm Ula 629-M14;629;3,0;50;1;137.300  ;;M14;500;50;178.400;;;;;
59;Ula 550x50-M14-TQ;Cùm Ula 559-M14;559;3,0;50;1;146.200  ;;M14;550;50;190.000;;;;;
60;Ula 600x50-M14-TQ;Cùm Ula 730-M14;730;3,0;50;1;156.500  ;;M14;600;50;203.400;;;;;
61;Ula 650x50-M14-TQ;Cùm Ula 659-M14;659;3,0;50;1;165.400  ;;M14;650;50;215.000;;;;;
62;Ula 700x50-M14-TQ;Cùm Ula 820-M14;820;3,0;50;1;175.800  ;;M14;700;50;228.500;;;;;
63;Ula 800x50-M14-TQ;Cùm Ula 920-M14;920;3,0;50;1;194.800  ;;M14;800;50;253.200;;;;;
64;Ula 900x50-M16-TQ;Cùm Ula 1020-M16;1020;5,0;70;1;485.400  ;;M16;900;50;630.900;;;;;
65;Ula 1000x50-M16-TQ;Cùm Ula 1120-M16;1120;5,0;70;1;529.700  ;;M16;1000;50;688.500;;;;;

